message_content,prelabel,label,cleaned_text,has_caps,has_phone,is_kiswahili_sheng
"Christa, finish your account sign-up and you could make Ksh 287 hourly in Nairobi. * t.uber.com/lJ8929 Reply STOP 2 to +1 415-237-0403 to unsubscribe",2: High-risk scam,scam,account sign ksh hourly nairobi reply stop unsubscribe,True,False,False
"CONGRATULATION!\nYOUR ACCOUNT 254757547986 HAS BEEN CREDITED WITH KES 62,950\n\nNew BONUS  Balance: KES 62,950 \n\nLOGIN>wekelea.com\n \n DEPOSIT&PLAY",2: High-risk scam,scam,congratulation account credit kes new bonus balance kes login deposit play,True,False,False
🙏🙏 I can do all this through him who gives me strength. Phil 4;13 Reply with 20 To stop this message reply with STOP,0: Legit (Low-risk),legit,give strength phil reply stop message reply stop,True,False,False
"Hi, I'm Alice, a recruiter at VG Investments. We are looking for a responsible part-time partner to join VG Investment Group. Join us and use your mobile phone for 30-60 minutes a day, with daily salary ranging from 3000-8000 KES! 👇👇👇 (must be 23 years old or above)\nContact us via WhatsApp:+12694406502",2: High-risk scam,scam,alice recruiter investment look responsible time partner join investment group join use mobile phone minute day daily salary range ke year old contact whatsapp,True,False,False
"TAL6FH2DN CONFIRMED, YOU HAVE RECEIVED KES. 70,350\n\nUSIPITWE NA HII CHEPKORIR INGIA> pepea.ke\n\nSHARE YAKO INAKUNGOJA LEO\n\nDEPOSIT 99/-PLAY&WIN",2: High-risk scam,scam,confirm receive kes usipitwe hii chepkorir ingia yako inakungoja leo deposit play win,True,False,False
"Have you received your New Year prize from Facebook totaling 318,190.00 USD for a confirmed Facebook user?\n\n We apologize if you did not receive your prize of 318,190.00 baht, we promise you will receive yours today\n  %\n\n Send me your mobile number so you can get your payment details",2: High-risk scam,scam,receive new year prize facebook total usd confirm facebook user apologize receive prize baht promise receive today send mobile number payment detail,True,False,False
"This too Shall Pass🙏🙏 God will see us through the difficult time and our land will be plenty again👐👊🙏🙌""  Reply with 30 for your call receivers. To stop receiving these messages reply Stop.""",0: Legit (Low-risk),legit,shall pass god difficult time land plenty reply receiver stop receive message reply stop,True,False,False
"Dear tenant, rent payment is now via MPESA till4975868(SECURE)due to problems with our regular rent account. PAY ON TIME. No other payment accepted. Management",2: High-risk scam,scam,dear tenant rent payment mpesa secure problem regular rent account pay time payment accept management,True,False,False
"NOTICE!  Dear tenant. Effective from today, all rent should be paid to our new bank account  Pay bill:542542 Account number:05405568866150  Kindly comply.  REGARDS, MANAGEMENT.",2: High-risk scam,scam,notice dear tenant effective today rent pay new bank account pay bill account number kindly comply regard management,True,False,False
"Congratulations, You have received KES200,000 MPESA ref: CRASH\n\nSignup hapa na ucheze, upate message kama hii!\n\nhttps://juubet.com STOP *456*9*5#",2: High-risk scam,scam,congratulation receive mpesa ref crash signup hapa ucheze upate message kama hii stop,True,False,False
"CHEZA LOTTO INATAJIRISHA!!\n\nRAHISI KUCHEZA, RAHISI KUSHINDA!\n\nCHEZA USHINDE MAMILLIONI SAA HII\n\nTO PLAY DIAL *501#\n\nTUNATOA WASHINDI KILA DAKIKA!\n\nSTOP*456*9*5#",0: Legit (Low-risk),legit,cheza lotto inatajirisha rahisi kucheza cheza ushinde hii play dial,True,False,False
"Your job posting has gone through, now click on the link to get to work. 200-1000KSh per hour, settlement income per hour!touch:http://wa.me/85268426479",2: High-risk scam,scam,job posting go click link work hour settlement income hour touch,True,False,False
I pray God visits your home this month with Miracles,0: Legit (Low-risk),legit,pray god visit home month miracle,True,False,False
"Hi mum,the anniversary is over,its now 2yrs since I lost her,I believe God will give me another caring&loving one,hope my son and daughter are doing well\n",0: Legit (Low-risk),legit,mum anniversary lose believe caring love hope son daughter,True,False,False
"Guard your heart above all else, for it determines the course of your life🙏Reply with 66 to inspire your callers. To stop reply stop",0: Legit (Low-risk),legit,guard heart determine course life reply inspire caller stop reply stop,True,False,False
"Mungu mpendwa, naomba ulinde watoto wangu. Waongoze kwenye njia iliyo sawa na walinde kutokana na hatari. Wajaze hekima na ujasiri. Familia yetu iwe kimbilio la upendo na amani. Amina. Jibu na 2 ili kueneza ujumbe huu kwa wengine. Bonyeza*875*353# kupata niponye Mungu kama skiza. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit,ulinde watoto wangu waongoze iliyo sawa walinde kutokana hatari wajaze hekima ujasiri familia yetu iwe kimbilio upendo ili kueneza ujumbe huu kwa wengine bonyeza kupata niponye mungu kama,True,False,True
"Dear Customer; TALA Softloan is now available to all M-PESA Users @ 10% interest from; Ksh10,000 Ksh20,000 Ksh50,000 Ksh250,000, call/sms TALA to 0736462245",2: High-risk scam,scam,dear customer tala softloan available pesa user interest sms tala,True,False,False
"Hi, your account has been credited with KES 87,048\n\nNew Balance: KES 88,248\n\nRef: TD4V6JZ8P\n\nPLAY> pepea.ke SAA HII \n\nDEPOSIT, UPATE HII PESA BY 7PM",2: High-risk scam,scam,account credit kes new balance ke ref play upate hii pesa,True,False,False
"4 11 1 Chronicles 16:11 Look to the LORD and\nhis strength; seek his face always."" Reply with\n13 to set as your signature. Reply with Stop to\nstop receivng this message""",0: Legit (Low-risk),legit,chronicle look lord strength seek face reply set signature reply stop stop receivng message,True,False,False
