feature,shap_value,trigger
is_kiswahili_sheng,0.18014929619557132,language
has_caps,0.12190220247936064,formatting
reply,0.04473452666584223,
account,0.033416874088131605,greed
message,0.02689388637944058,
kes,0.024343167784946915,greed
ksh,0.021842348069099845,
god,0.020821128674956165,
bonus,0.01996619363722066,greed
lord,0.01645036724157538,
reply stop,0.015530781197120036,
number,0.014096332082590961,
today,0.013287151142475749,urgency
strength,0.012808335919154699,
yako,0.012390574979794703,
leo,0.010516521340691507,
loan,0.010425953057511341,greed
balance,0.00992160457204204,greed
win,0.009544604132391336,greed
free,0.009242647800408633,greed
